   0.22822,   0.02758,   0.16180,  -0.11634,   0.05833,   0.28079,  -0.21966,   0.07033
   0.02938,  -0.15240,  -0.03198,   0.09271,   0.04769,  -0.30977,   0.04216,  -0.21457
   0.03091,  -0.16426,  -0.03139,  -0.26021,   0.11659,   0.00802,   0.21123,   0.19796
   0.24816,  -0.07466,  -0.28376,   0.22424,   0.08607,  -0.08323,   0.10525,  -0.03607
  -0.02653,  -0.15512,  -0.31800,  -0.12145,  -0.12814,   0.03411,  -0.02339,   0.39159
  -0.19404,   0.19494,   0.24950,   0.14368,  -0.05034,  -0.00627,  -0.16904,  -0.15035
  -0.09813,  -0.00581,   0.12167,   0.22842,  -0.04936,  -0.40247,   0.33558,   0.13858
   0.03711,  -0.37687,  -0.07036,   0.28911,   0.13917,  -0.03093,  -0.17565,   0.06729
  -0.19446,  -0.27363,   0.31574,   0.19370,  -0.09025,   0.00570,   0.12825,  -0.18710
  -0.41364,  -0.11196,   0.39563,  -0.31734,  -0.39530,  -0.16288,   0.02156,  -0.18199
   0.28815,  -0.02450,  -0.26091,  -0.03183,  -0.30577,   0.16985,   0.16029,  -0.21486
   0.08528,   0.20062,   0.12906,  -0.34615,   0.17955,   0.13638,   0.17901,   0.24725
   0.05198,   0.04595,   0.01099,  -0.52447,  -0.06640,  -0.30937,   0.14941,  -0.19141
   0.16593,  -0.13779,  -0.34545,  -0.02349,   0.07694,  -0.06132,  -0.02608,   0.05476
   0.39583,  -0.40592,   0.00214,  -0.36455,   0.42750,  -0.13130,   0.07689,   0.00783
  -0.20181,  -0.16013,   0.09259,  -0.26672,   0.00708,  -0.16118,  -0.01667,  -0.08601
   0.08450,   0.44521,  -0.12595,  -0.27713,   0.27186,   0.27151,   0.09213,   0.17245
  -0.08140,   0.12736,   0.11499,  -0.30689,  -0.08959,  -0.02526,   0.03769,   0.07260
  -0.35545,  -0.09463,  -0.23280,  -0.21685,   0.24438,   0.15288,  -0.35095,  -0.03597
  -0.02620,   0.04535,   0.01887,  -0.08021,  -0.11244,  -0.28970,  -0.14408,   0.14092
